timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-08-26T05:59:21.518Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/DRYRUN-MIM-T-blondie-mini-tote-bag,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
2026-08-26T05:59:43.129Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/8408053579850,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
2026-08-27T08:03:31.927Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/8411002306634,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
