style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-clique-sterling-silver-necklace,Clique Sterling Silver Necklace,Neck,clique-sterling-silver-necklace-60274019-9570,Rose Gold,1,Y,Clique Sterling Silver Necklace,,,,No Size,,gid://shopify/Product/8257044250698,clique-sterling-silver-necklace-60274019,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-clique-sterling-silver-necklace,Clique Sterling Silver Necklace,Neck,clique-sterling-silver-necklace-60274020-901,Silver,2,Y,Clique Sterling Silver Necklace,,,99,No Size,,gid://shopify/Product/8257044414538,clique-sterling-silver-necklace-60274020,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-clique-sterling-silver-necklace,Clique Sterling Silver Necklace,Neck,clique-sterling-silver-necklace-60274021-908,Gold,3,Y,Clique Sterling Silver Necklace,,,139,No Size,,gid://shopify/Product/8257044578378,clique-sterling-silver-necklace-60274021,SINGLETON_PARENT|NONSTANDARD_HANDLE
