product_type,similarity,code_gap,title_a,handle_a,title_b,handle_b
Bags Leather,0.966,,Mim-Mazing Duo Cross Body Bag,mim-mazing-duo-cross-body-bag-60266731-1492,Mim-Mazing Duo Crossbody Bag,mim-mazing-duo-crossbody-bag-60266732-9621
Bags Leather,0.960,,Mim-Mazing Cross Body Bag,mim-mazing-cross-body-bag-60265015-9529,Mim-Mazing Crossbody Bag,mim-mazing-crossbody-bag-60266735-1492
Bags Leather,0.952,,D-Vine Crossbody Bag,d-vine-crossbody-bag-60252977-1492,D-Vine Cross Body Bag,d-vine-cross-body-bag-60252978-9514
Bags Leather,0.944,,Giselle Saddle Bg,giselle-saddle-bg-60306107-3637,Giselle Saddle Bag,giselle-saddle-bag-60308046-3637
Bags Leather,0.909,,Luna Mini Crescent Bag,luna-mini-crescent-bag-60317989-240,Luna Mn Crescent Bag,luna-mn-crescent-bag-60322539-115
Bags Leather,0.905,,Noir Charm Bowler Bag,noir-charm-bowler-bag-60314392-1,Noir Chrm Bowler Bg,noir-chrm-bowler-bg-60314394-9787
