style_group_id,parent_title,parent_type,child_handle,colour_name,swatch_order,approved,_child_title,_style_code,_colour_code,_price,_size_scale,_code_spread,_source_parent_id,_source_parent_handle,_flags
MIM-T-carve-glitter-pump-heels,Carve Glitter Pump Heels,Heels,carve-glitter-pump-heels-60256609-9570,Rose Gold,1,Y,Carve Glitter Pump Heels,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986271060058,carve-glitter-pump-heels-60256609,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-carve-glitter-pump-heels,Carve Glitter Pump Heels,Heels,carve-glitter-pump-heels-60254463-9921,Dahlia Pink,2,Y,Carve Glitter Pump Heels,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986271354970,carve-glitter-pump-heels-60254463,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-carve-glitter-pump-heels,Carve Glitter Pump Heels,Heels,carve-glitter-pump-heels-60255806-3718,Light Gold,3,Y,Carve Glitter Pump Heels,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986272206938,carve-glitter-pump-heels-60255806,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-honour-sandal,Honour Sandal,Heels,honour-sandal-60243141-2351,Almond,1,Y,Honour Sandal,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986264571994,honour-sandal-60243141,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-honour-sandal,Honour Sandal,Heels,honour-sandal-60244449-178,Red,2,Y,Honour Sandal,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986267652186,honour-sandal-60244449,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-vivid-pump-heels,Vivid Pump Heels,Heels,vivid-pump-heels-60255802-100,White,1,Y,Vivid Pump Heels,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986271813722,vivid-pump-heels-60255802,SINGLETON_PARENT|NONSTANDARD_HANDLE
MIM-T-vivid-pump-heels,Vivid Pump Heels,Heels,vivid-pump-heels-60255803-9965,Snake Print,2,Y,Vivid Pump Heels,,,,"35,36,37,38,39,40,41,42",,gid://shopify/Product/7986272043098,vivid-pump-heels-60255803,SINGLETON_PARENT|NONSTANDARD_HANDLE
