timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T15:09:40.928Z,MIM-T-eos-cap,CREATED,gid://shopify/Product/7986536808538,Eos Cap,gid://shopify/Product/7986495193178|gid://shopify/Product/7986495357018|gid://shopify/Product/7986495520858,eos-cap-60325543-2344|eos-cap-60325545-993|eos-cap-60325546-4066,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986536808538|gid://shopify/Product/7986537005146|gid://shopify/Product/7986537168986 REUSED_PARENT=gid://shopify/Product/7986536808538
2026-09-06T15:09:45.040Z,MIM-T-innate-visor-hat,CREATED,gid://shopify/Product/7986286493786,Innate Visor Hat,gid://shopify/Product/7986040471642|gid://shopify/Product/7986040602714,innate-visor-hat-60271176-115|innate-visor-hat-60271177-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986286493786|gid://shopify/Product/7986286723162 REUSED_PARENT=gid://shopify/Product/7986286493786
2026-09-06T15:09:49.345Z,MIM-T-paradise-sun-hat,CREATED,gid://shopify/Product/7986285084762,Paradise Sun Hat,gid://shopify/Product/7986038603866|gid://shopify/Product/7986038800474,paradise-sun-hat-60271115-1|paradise-sun-hat-60271116-9420,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986285084762|gid://shopify/Product/7986285248602 REUSED_PARENT=gid://shopify/Product/7986285084762
