timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T15:10:48.362Z,MIM-T-carve-glitter-pump-heels,CREATED,gid://shopify/Product/7986271060058,Carve Glitter Pump Heels,gid://shopify/Product/7986023759962|gid://shopify/Product/7986023923802|gid://shopify/Product/7986024677466,carve-glitter-pump-heels-60256609-9570|carve-glitter-pump-heels-60254463-9921|carve-glitter-pump-heels-60255806-3718,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986271060058|gid://shopify/Product/7986271354970|gid://shopify/Product/7986272206938 REUSED_PARENT=gid://shopify/Product/7986271060058
2026-09-06T15:10:52.319Z,MIM-T-honour-sandal,CREATED,gid://shopify/Product/7986264571994,Honour Sandal,gid://shopify/Product/7986017206362|gid://shopify/Product/7986020614234,honour-sandal-60243141-2351|honour-sandal-60244449-178,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986264571994|gid://shopify/Product/7986267652186 REUSED_PARENT=gid://shopify/Product/7986264571994
2026-09-06T15:10:56.176Z,MIM-T-vivid-pump-heels,CREATED,gid://shopify/Product/7986271813722,Vivid Pump Heels,gid://shopify/Product/7986024349786|gid://shopify/Product/7986024513626,vivid-pump-heels-60255802-100|vivid-pump-heels-60255803-9965,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986271813722|gid://shopify/Product/7986272043098 REUSED_PARENT=gid://shopify/Product/7986271813722
