timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-09-06T14:42:20.186Z,MIM-T-astro-sneakers,CREATED,gid://shopify/Product/7986274500698,Astro Sneakers,gid://shopify/Product/7986027167834|gid://shopify/Product/7986028806234,astro-sneakers-60259268-1|astro-sneakers-60259026-100,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986274500698|gid://shopify/Product/7986276794458 REUSED_PARENT=gid://shopify/Product/7986274500698
2026-09-06T14:42:24.062Z,MIM-T-chronicle-slippers,CREATED,gid://shopify/Product/7986414878810,Chronicle Slippers,gid://shopify/Product/7986196873306|gid://shopify/Product/7986197037146,chronicle-slippers-60318035-602|chronicle-slippers-60318036-657,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986414878810|gid://shopify/Product/7986415042650 REUSED_PARENT=gid://shopify/Product/7986414878810
2026-09-06T14:42:28.479Z,MIM-T-lively-slides,CREATED,gid://shopify/Product/7986273321050,Lively Slides,gid://shopify/Product/7986025988186|gid://shopify/Product/7986028970074,lively-slides-60259040-100|lively-slides-60259033-974,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986273321050|gid://shopify/Product/7986276892762 REUSED_PARENT=gid://shopify/Product/7986273321050
2026-09-06T14:42:32.780Z,MIM-T-pixie-ballet-flats,CREATED,gid://shopify/Product/7986270470234,Pixie Ballet Flats,gid://shopify/Product/7986022907994|gid://shopify/Product/7986023104602,pixie-ballet-flats-60254331-9939|pixie-ballet-flats-60254332-1,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986270470234|gid://shopify/Product/7986270634074 REUSED_PARENT=gid://shopify/Product/7986270470234
2026-09-06T14:42:36.671Z,MIM-T-queen-b-sneakers,CREATED,gid://shopify/Product/7986277417050,Queen B Sneakers,gid://shopify/Product/7986029920346|gid://shopify/Product/7986032050266,queen-b-sneakers-60265655-1|queen-b-sneakers-60265871-100,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986277417050|gid://shopify/Product/7986279284826 REUSED_PARENT=gid://shopify/Product/7986277417050
