handle,title,product_type,status
citrina-necklace-60246554-9900,Citrina Necklace,Neck,ACTIVE
clique-sterling-silver-necklace-60274020-901,Clique Sterling Silver Necklace,Neck,ACTIVE
clique-sterling-silver-necklace-60274021-908,Clique Sterling Silver Necklace,Neck,ACTIVE
